contest_key,date,title,location_str,city,state,state_full,prize,cbj_percentage,is_championship,is_standard,url
1245,2016-05-27,Papa Joe's Banjo-B-Que & Music Festival (GBC Qualifier),"Evans, GA",Evans,GA,Georgia,40000.0,100.0,True,False,http://www.kcbs.us/event/6192/papa-joes-banjo-b-que-music-festival-gbc-qualifier
1246,2016-05-28,"BBQ, Blues & Brews on the Bay","North Bend, OR",North Bend,OR,Oregon,13000.0,,True,False,http://www.kcbs.us/event/6076/bbq-blues-brews-on-the-bay
1247,2016-05-28,The National BBQ Cup (Day 2),"Nashville, TN",Nashville,TN,Tennessee,20000.0,100.0,True,True,http://www.kcbs.us/event/6472/the-national-bbq-cup-day-2
1248,2016-05-28,"Red, White & BBQ (Day 2)","Westmont, IL",Westmont,IL,Illinois,8000.0,100.0,True,True,http://www.kcbs.us/event/6109/red-white-bbq-day-2
1249,2016-05-28,Roc City Rib Fest,"Rochester, NY",Rochester,NY,New York,4800.0,100.0,True,False,http://www.kcbs.us/event/6058/roc-city-rib-fest
1250,2016-06-03,Euharlee Covered Bridge 'Que (GBC Qualifier),"Euharlee, GA",Euharlee,GA,Georgia,8000.0,100.0,True,False,http://www.kcbs.us/event/6211/euharlee-covered-bridge-que-gbc-qualifier
1251,2016-06-03,Horse Town Brew n Que Festival,"Norco, CA",Norco,CA,California,12100.0,100.0,True,False,http://www.kcbs.us/event/5968/horse-town-brew-n-que-festival
1252,2016-06-03,Fire in the Valley Red Bank BBQ,"Red Bank(Chattanooga), TN",Red Bank(Chattanooga),TN,Tennessee,0.0,100.0,True,False,http://www.kcbs.us/event/6558/fire-in-the-valley-red-bank-bbq
1253,2016-06-03,Sam's Club National BBQ Tour,"Asheville, NC",Asheville,NC,North Carolina,10000.0,,False,True,http://www.kcbs.us/event/6385/sams-club-national-bbq-tour
1254,2016-06-03,Beltway BBQ Showdown,"Fort Washington, MD",Fort Washington,MD,Maryland,15000.0,94.0,True,True,http://www.kcbs.us/event/6537/beltway-bbq-showdown
1255,2016-06-03,Kelley Wilson Memorial BBQ Competition (KWBBQ),"Kansas City, MO",Kansas City,MO,Missouri,7000.0,98.0,True,True,http://www.kcbs.us/event/5977/kelley-wilson-memorial-bbq-competition-kwbbq
1256,2016-06-03,Up In smoke on the Square,"Lincoln , IL",Lincoln,IL,Illinois,15000.0,100.0,True,False,http://www.kcbs.us/event/6255/up-in-smoke-on-the-square
1257,2016-06-03,Smokin' on the Summit BBQ,"Lee's Summit, MO",Lee's Summit,MO,Missouri,10125.0,91.0,True,False,http://www.kcbs.us/event/6444/smokin-on-the-summit-bbq
1258,2016-06-03,Fire  it Up 5 BBQ Competition,"Florence, OR",Florence,OR,Oregon,5000.0,100.0,True,True,http://www.kcbs.us/event/6526/fire-it-up-5-bbq-competition
1259,2016-06-03,McLouth BBQ Blowout 25th Anniversary (Judges full),"McLouth, KS",McLouth,KS,Kansas,6125.0,7.0,True,False,http://www.kcbs.us/event/6079/mclouth-bbq-blowout-25th-anniversary-judges-full
1260,2016-06-03,Conquer The Grill,"Coudersport, PA",Coudersport,PA,Pennsylvania,3050.0,63.0,True,True,http://www.kcbs.us/event/6514/conquer-the-grill
